Name,Primary_Genre,Price,Total_Reviews,Peak CCU,Review_Ratio,Release date
Valheim,Action,19.99,353418,25035,0.9540459172990623,2021-02-02
New World,Action,39.99,228814,16688,0.6770302516454413,2021-09-28
é¬¼è°·å…«è’ Tale of Immortal,Action,19.99,209045,12085,0.5041211222464063,2021-01-27
Battlefieldâ„¢ 2042,Action,29.99,145159,5060,0.2695044744039295,2021-11-19
Halo Infinite,Action,0.0,144296,5934,0.7355228142152243,2021-11-15
Forza Horizon 4,Racing,59.99,137634,7571,0.8903250650275368,2021-03-09
Vampire Survivors,Action,2.99,113751,15530,0.9889935033538166,2021-12-17
NARAKA: BLADEPOINT,Action,19.99,110999,61338,0.782826872314165,2021-08-11
It Takes Two,Action,39.99,94480,10627,0.9603196443691787,2021-03-25
Totally Accurate Battle Simulator,Indie,19.99,90209,2508,0.9793701293662495,2021-04-01
FIFA 22,Simulation,59.99,87129,74621,0.7956248780543791,2021-09-30
Forza Horizon 5,Action,59.99,81678,14205,0.8731237297681138,2021-11-08
Resident Evil Village,Action,39.99,77071,1255,0.9591934709553529,2021-05-06
Hell Let Loose,Action,26.79,76990,13986,0.8511754773347188,2021-07-27
Gunfire Reborn,Action,19.99,74527,4151,0.945710950393817,2021-11-17
Inscryption,Adventure,19.99,73649,1678,0.971391329142283,2021-10-19
Subnautica: Below Zero,Adventure,29.99,67393,1486,0.9130918641401926,2021-05-13
Dyson Sphere Program,Indie,19.99,63691,5269,0.9776263522318694,2021-01-20
Ready or Not,Action,39.99,60201,4839,0.9254663543794953,2021-12-17
OUTRIDERS,Action,39.99,57270,3710,0.6550899249170595,2021-04-01
